gene_name	entrez_id	ensembl_id	hgnc_id	refseq_accession
DDX11L1	100287102	ENSG00000223972	HGNC:37102	NR_046018
WASH7P	653635	ENSG00000227232	HGNC:38034	NR_024540
MIR1302-2	100302278	ENSG00000243485	HGNC:35294	NR_036051
MIR1302-2HG	107985730	ENSG00000243485	HGNC:52482	XR_001737835
FAM138A	645520	ENSG00000237613	HGNC:32334	NR_026818
OR4G4P	79504	ENSG00000268020	HGNC:14822	NG_004148
OR4G11P	403263	ENSG00000240361	HGNC:31276	NG_004423
OR4F5	79501	ENSG00000186092	HGNC:14825	NM_001005484
CICP27	100420257	ENSG00000233750	HGNC:48835	NG_027060
RPL23AP21	728481	ENSG00000241670	HGNC:35827	NG_009563
MTND1P23	100887749	ENSG00000225972	HGNC:42092	NG_032769
MTND2P28	100652939	ENSG00000225630	HGNC:42129	NG_032768
MTCO1P12	107075141	ENSG00000237973	HGNC:52014	NG_046415
MTCO2P12	107075310	ENSG00000229344	HGNC:52028	NG_046448
MTATP8P1	106480795	ENSG00000240409	HGNC:44571	NG_045722
MTATP6P1	106480796	ENSG00000248527	HGNC:44575	NG_045727
MTCO3P12	107075270	ENSG00000198744	HGNC:52042	NG_051915
WBP1LP6	106481797	ENSG00000268663	HGNC:43956	NG_043960
OR4F16	81399	ENSG00000273547	HGNC:15079	NM_001005277
CICP3	100132630	ENSG00000229376	HGNC:37742	NG_016558
FAM87B	400728	ENSG00000177757	HGNC:32236	NR_103536
LINC01128	643837	ENSG00000228794	HGNC:49377	NR_047519
LINC00115	79854	ENSG00000225880	HGNC:26211	XR_017693
FAM41C	284593	ENSG00000230368	HGNC:27635	NR_027055
TUBB8P11	388579	ENSG00000234711	HGNC:32337	NG_005336
SAMD11	148398	ENSG00000187634	HGNC:28706	NM_152486
NOC2L	26155	ENSG00000188976	HGNC:24517	NM_015658
KLHL17	339451	ENSG00000187961	HGNC:24023	NM_198317
PLEKHN1	84069	ENSG00000187583	HGNC:25284	NM_032129
PERM1	84808	ENSG00000187642	HGNC:28208	NR_027693
HES4	57801	ENSG00000188290	HGNC:24149	NM_021170
ISG15	9636	ENSG00000187608	HGNC:4053	NM_005101
AGRN	375790	ENSG00000188157	HGNC:329	NM_198576
RNF223	401934	ENSG00000237330	HGNC:40020	NM_001205252
C1orf159	54991	ENSG00000131591	HGNC:26062	NM_017891
LINC01342	254099	ENSG00000223823	HGNC:50551	NR_038869
MIR200B	406984	ENSG00000207730	HGNC:31579	NR_029639
MIR200A	406983	ENSG00000207607	HGNC:31578	NR_029834
MIR429	554210	ENSG00000198976	HGNC:13784	NR_029957
TTLL10-AS1	100506376	ENSG00000205231	HGNC:41159	XR_132470
TTLL10	254173	ENSG00000162571	HGNC:26693	NM_153254
TNFRSF18	8784	ENSG00000186891	HGNC:11914	NM_004195
TNFRSF4	7293	ENSG00000186827	HGNC:11918	NM_003327
SDF4	51150	ENSG00000078808	HGNC:24188	NM_016176
B3GALT6	126792	ENSG00000176022	HGNC:17978	NM_080605
FAM132A	388581	ENSG00000184163	HGNC:32308	XM_371208
UBE2J2	118424	ENSG00000160087	HGNC:19268	NM_058167
LINC01786	101928895	ENSG00000230415	HGNC:52575	XR_946815
SCNN1D	6339	ENSG00000162572	HGNC:10601	NM_002978
ACAP3	116983	ENSG00000131584	HGNC:16754	NM_030649
PUSL1	126789	ENSG00000169972	HGNC:26914	NM_153339
INTS11	54973	ENSG00000127054	HGNC:26052	NM_017871
CPTP	80772	ENSG00000224051	HGNC:28116	NM_001029885
TAS1R3	83756	ENSG00000169962	HGNC:15661	NM_152228
DVL1	1855	ENSG00000107404	HGNC:3084	NM_004421
MXRA8	54587	ENSG00000162576	HGNC:7542	NM_032348
AURKAIP1	54998	ENSG00000175756	HGNC:24114	NM_017900
NDUFB4P8	107075246	ENSG00000223663	HGNC:45256	NG_046371
CCNL2	81669	ENSG00000221978	HGNC:20570	NM_030937
MRPL20	55052	ENSG00000242485	HGNC:14478	NM_017971
ANKRD65	441869	ENSG00000235098	HGNC:42950	NM_001145210
TMEM88B	643965	ENSG00000205116	HGNC:37099	NM_001146685
LINC01770	102724312	ENSG00000225285	HGNC:52560	NR_125994
VWA1	64856	ENSG00000179403	HGNC:30910	NM_022834
ATAD3C	219293	ENSG00000215915	HGNC:32151	NM_001039211
ATAD3B	83858	ENSG00000160072	HGNC:24007	NM_031921
ATAD3A	55210	ENSG00000197785	HGNC:25567	NM_018188
TMEM240	339453	ENSG00000205090	HGNC:25186	NM_001114748
SSU72	29101	ENSG00000160075	HGNC:25016	NM_014188
FNDC10	643988	ENSG00000228594	HGNC:42951	NM_001242659
MIB2	142678	ENSG00000197530	HGNC:30577	NM_080875
MMP23B	8510	ENSG00000189409	HGNC:7171	NM_006983
MMP23A	8511	ENSG00000215914	HGNC:7170	NR_002946
CDK11A	728642	ENSG00000008128	HGNC:1730	NM_024011
SLC35E2	9906	ENSG00000215790	HGNC:20863	XM_049733
NADK	65220	ENSG00000008130	HGNC:29831	NM_023018
GNB1	2782	ENSG00000078369	HGNC:4396	NM_002074
CALML6	163688	ENSG00000169885	HGNC:24193	NM_138705
TMEM52	339456	ENSG00000178821	HGNC:27916	NM_178545
CFAP74	85452	ENSG00000142609	HGNC:29368	NM_001304360
GABRD	2563	ENSG00000187730	HGNC:4084	NM_000815
PRKCZ	5590	ENSG00000067606	HGNC:9412	NM_002744
FAAP20	199990	ENSG00000162585	HGNC:26428	NM_182533
SKI	6497	ENSG00000157933	HGNC:10896	NM_003036
MORN1	79906	ENSG00000116151	HGNC:25852	NM_024848
RER1	11079	ENSG00000157916	HGNC:30309	NM_007033
PEX10	5192	ENSG00000157911	HGNC:8851	NM_153818
PLCH2	9651	ENSG00000149527	HGNC:29037	NM_014638
PANK4	55229	ENSG00000157881	HGNC:19366	NM_018216
HES5	388585	ENSG00000197921	HGNC:19764	NM_001010926
TNFRSF14	8764	ENSG00000157873	HGNC:11912	NM_001297605
FAM213B	127281	ENSG00000157870	HGNC:28390	NM_152371
MMEL1	79258	ENSG00000142606	HGNC:14668	NM_033467
TTC34	100287898	ENSG00000215912	HGNC:34297	XM_002342015
ACTRT2	140625	ENSG00000169717	HGNC:24026	NM_080431
LINC00982	440556	ENSG00000177133	HGNC:48664	NR_015440
PRDM16	63976	ENSG00000142611	HGNC:14000	NM_022114
ARHGEF16	27237	ENSG00000130762	HGNC:15515	NM_014448
MEGF6	1953	ENSG00000162591	HGNC:3232	NM_001409
MIR551A	693135	ENSG00000207776	HGNC:32806	NR_030277
TPRG1L	127262	ENSG00000158109	HGNC:27007	NM_182752
WRAP73	49856	ENSG00000116213	HGNC:12759	NM_017818
TP73	7161	ENSG00000078900	HGNC:12003	NM_005427
TP73-AS1	57212	ENSG00000227372	HGNC:29052	NR_033708
CCDC27	148870	ENSG00000162592	HGNC:26546	NM_152492
SMIM1	388588	ENSG00000235169	HGNC:44204	NM_001163724
LRRC47	57470	ENSG00000130764	HGNC:29207	NM_020710
CEP104	9731	ENSG00000116198	HGNC:24866	NM_014704
DFFB	1677	ENSG00000169598	HGNC:2773	NM_001282669
C1orf174	339448	ENSG00000198912	HGNC:27915	NM_207356
LINC01134	100133612	ENSG00000236423	HGNC:49449	NR_024455
LINC01346	728716	ENSG00000233304	HGNC:50563	NR_040065
LINC01345	105376672	ENSG00000226374	HGNC:50564	XR_946890
EEF1DP6	644357	ENSG00000229280	HGNC:51456	NG_006533
LINC01777	284661	ENSG00000235054	HGNC:52567	NR_027088
LINC01646	105376679	ENSG00000232596	HGNC:52433	XR_001737877
AJAP1	55966	ENSG00000196581	HGNC:30801	NM_018836
MIR4417	100616489	ENSG00000264341	HGNC:41535	NR_039612
MIR4689	100616421	ENSG00000264101	HGNC:41895	NR_039838
NPHP4	261734	ENSG00000131697	HGNC:19104	NM_001291593
KCNAB2	8514	ENSG00000069424	HGNC:6229	NM_172130
CHD5	26038	ENSG00000116254	HGNC:16816	NM_015557
RPL22	6146	ENSG00000116251	HGNC:10315	NM_000983
RNF207	388591	ENSG00000158286	HGNC:32947	NM_207396
ICMT	23463	ENSG00000116237	HGNC:5350	NM_012405
LINC00337	148645	ENSG00000225077	HGNC:28620	NR_103534
HES3	390992	ENSG00000173673	HGNC:26226	NM_001024598
GPR153	387509	ENSG00000158292	HGNC:23618	NM_207370
ACOT7	11332	ENSG00000097021	HGNC:24157	NM_007274
HES2	54626	ENSG00000069812	HGNC:16005	NM_019089
ESPN	83715	ENSG00000187017	HGNC:13281	NM_031475
MIR4252	100422975	ENSG00000265392	HGNC:38384	NR_036218
TNFRSF25	8718	ENSG00000215788	HGNC:11910	NM_148965
PLEKHG5	57449	ENSG00000171680	HGNC:29105	NM_020631
NOL9	79707	ENSG00000162408	HGNC:26265	NM_024654
TAS1R1	80835	ENSG00000173662	HGNC:14448	NM_138697
ZBTB48	3104	ENSG00000204859	HGNC:4930	NM_005341
KLHL21	9903	ENSG00000162413	HGNC:29041	NM_014851
PHF13	148479	ENSG00000116273	HGNC:22983	NM_153812
THAP3	90326	ENSG00000041988	HGNC:20855	NM_138350
DNAJC11	55735	ENSG00000007923	HGNC:25570	NM_018198
LINC01672	100505887	ENSG00000228750	HGNC:52460	NR_104620
CAMTA1	23261	ENSG00000171735	HGNC:18806	NM_015215
CAMTA1-IT1	100874340	ENSG00000237402	HGNC:41446	
VAMP3	9341	ENSG00000049245	HGNC:12644	NM_004781
PER3	8863	ENSG00000049246	HGNC:8847	NM_016831
UTS2	10911	ENSG00000049247	HGNC:12636	NM_006786
TNFRSF9	3604	ENSG00000049249	HGNC:11924	NM_001561
PARK7	11315	ENSG00000116288	HGNC:16369	NM_007262
ERRFI1	54206	ENSG00000116285	HGNC:18185	NM_018948
LINC01714	102724539	ENSG00000227634	HGNC:52501	NR_125998
SLC45A1	50651	ENSG00000162426	HGNC:17939	NM_001080397
RERE	473	ENSG00000142599	HGNC:9965	NM_001042681
RPL7P11	100270823	ENSG00000234619	HGNC:35667	NG_011186
RPL7P7	644896	ENSG00000224315	HGNC:36895	NG_005688
RPL23AP19	100131143	ENSG00000229716	HGNC:36708	NG_009753
ENO1	2023	ENSG00000074800	HGNC:3350	NM_001428
ENO1-IT1	106480431	ENSG00000236269	HGNC:41331	
ENO1-AS1	100505975	ENSG00000230679	HGNC:40214	NR_038351
HMGN2P17	100113373	ENSG00000238249	HGNC:39381	NG_006598
CA6	765	ENSG00000131686	HGNC:1380	NM_001215
SLC2A7	155184	ENSG00000197241	HGNC:13445	NM_207420
SLC2A5	6518	ENSG00000142583	HGNC:11010	NM_003039
GPR157	80045	ENSG00000180758	HGNC:23687	NM_024980
MIR34AHG	106614088	ENSG00000228526	HGNC:51913	NR_132742
MIR34A	407040	ENSG00000207865	HGNC:31635	NR_029610
LINC01759	102724571	ENSG00000234546	HGNC:52548	NR_132738
H6PD	9563	ENSG00000049239	HGNC:4795	NM_004285
SPSB1	80176	ENSG00000171621	HGNC:30628	NM_025106
RNA5SP40	100873279	ENSG00000252956	HGNC:42816	NG_033361
SLC25A33	84275	ENSG00000171612	HGNC:29681	NM_032315
TMEM201	199953	ENSG00000188807	HGNC:33719	NM_001010866
PIK3CD	5293	ENSG00000171608	HGNC:8977	NM_005026
PIK3CD-AS1	644997	ENSG00000179840	HGNC:32346	NR_027045
PIK3CD-AS2	101929074	ENSG00000231789	HGNC:51334	NR_126366
CLSTN1	22883	ENSG00000171603	HGNC:17447	NM_001009566
MZT1P1	106480302	ENSG00000271264	HGNC:50605	NG_044274
CTNNBIP1	56998	ENSG00000178585	HGNC:16913	NM_020248
LZIC	84328	ENSG00000162441	HGNC:17497	NM_032368
NMNAT1	64802	ENSG00000173614	HGNC:17877	NM_001297778
MIR5697	100847055	ENSG00000265521	HGNC:43509	NR_049882
RBP7	116362	ENSG00000162444	HGNC:30316	NM_052960
UBE4B	10277	ENSG00000130939	HGNC:12500	NM_006048
PGAM1P11	100420660	ENSG00000233623	HGNC:42464	NG_027065
KIF1B	23095	ENSG00000054523	HGNC:16636	NM_015074
MIR1273D	100422970	ENSG00000264881	HGNC:38375	NR_036176
PGD	5226	ENSG00000142657	HGNC:8891	NM_002631
APITD1-CORT	100526739	ENSG00000251503	HGNC:38843	NM_198544.3
