Gene	Gene_hs	gene_length_hs	exon_length_gencode_v25_hs	Gene_sum_all	Gene_mean_all	Gene_sum0_all	Gene_mean0_all	Gene_var_all	Gene_cv_all
Acadm	ACADM	63229	4783	5793	0.5810431293881645	6703	0.6723169508525577	1.200423026527672	1.8856400272043512
Acadvl	ACADVL	8149	4865	6743	0.6763289869608826	6190	0.6208625877632898	1.2866399479308626	1.6771446235857
Acat1	ACAT1	26261	5584	17640	1.7693079237713139	4039	0.40511534603811433	5.5174449016625555	1.3275949140114267
Acvr1	ACVR1	139419	3990	2722	0.27301905717151453	8346	0.837111334002006	0.6071664285664697	2.854045633011195
Sgca	SGCA	11718	2452	73	0.007321965897693079	9920	0.9949849548645938	0.015695204783776548	17.11022779328909
Aga	AGA	11734	2675	3629	0.3639919759277834	7587	0.7609829488465396	0.6225371771850812	2.167658365610545
Agt	AGT	11775	2291	939	0.094182547642928785	9618	0.9646940822467402	0.5872768169087461	8.136750412804076
Alad	ALAD	15017	4983	5279	0.5294884653961885	6999	0.7020060180541625	1.1246695146126513	2.002884741289681
Alas2	ALAS2	22010	2134	NA	NA	NA	NA	NA	NA
Ampd1	AMPD1	22521	2517	46	0.004613841524573721	9926	0.9955867602808425	0.0049942585304312975	15.316969115692928
Apoh	APOH	44493	1332	18	0.0018054162487462387	9952	0.9981945837512538	0.001802337496992935	23.514768757236627
Fas	FAS	25255	3750	154	0.015446339017051154	9867	0.9896690070210632	0.03025591973030135	11.261068937618605
Ar	AR	186588	12775	472	0.047342026078234706	9565	0.9593781344032096	0.061355658911733696	5.2321534415112945
Arg1	ARG1	11189	1965	25	0.0025075225677031092	9951	0.9980942828485456	0.0037052173674197433	24.27515408040586
Asl	ASL	17761	3195	563	0.05646940822467402	9604	0.9632898696088265	0.12209928008521502	6.187900405621861
Aspa	ASPA	31046	5854	35677	3.578435305917753	5902	0.5919759277833501	40.385310822627375	1.7759001536363404
Atp7a	ATP7A	139740	8529	2767	0.27753259779338013	8160	0.8184553660982948	0.5299495738695673	2.6230300911810005
Bckdhb	BCKDHB	239624	4071	1965	0.19709127382146438	8499	0.8524573721163491	0.31775661018565776	2.8600913235668286
Brca2	BRCA2	84793	12273	531	0.05325977933801404	9529	0.9557673019057171	0.07470348652538013	5.131815958716589
Serping1	SERPING1	17467	3603	455	0.04563691073219659	9775	0.9804413239719157	0.23414938365100318	10.60303685865684
C2	C2	47888	5536	118	0.011835506519558676	9907	0.9936810431293882	0.03396563448998817	15.571592031954944
C6	C6	119205	4739	61	0.006118355065195587	9919	0.9948846539618856	0.010495213195006828	16.74406710440657
C8b	C8B	36931	2729	NA	NA	NA	NA	NA	NA
Capn3	CAPN3	52819	4995	94	0.009428284854563691	9894	0.9923771313941826	0.014355877342127697	12.708145372786634
Cd3g	CD3G	10818	3836	NA	NA	NA	NA	NA	NA
Cd40lg	CD40LG	12198	1817	NA	NA	NA	NA	NA	NA
Chrna1	CHRNA1	16881	4855	53	0.005315947843530591	9928	0.9957873620862587	0.008096925946864569	16.92697576329475
Chrne	CHRNE	5301	2641	NA	NA	NA	NA	NA	NA
Lyst	LYST	222600	19614	2031	0.2037111334002006	8432	0.8457372116349047	0.2960440052226093	2.6709353159477653
Ercc8	ERCC8	71243	4847	1462	0.14663991975927784	8780	0.880641925777332	0.19436377142260367	3.00646009946897
Clcn1	CLCN1	35958	3306	NA	NA	NA	NA	NA	NA
Clcnka	CLCNKB	13573	2939	54	0.005416248746238716	9929	0.9958876629889669	0.01020237963363458	18.6488535462318
Col1a2	COL1A2	36672	11156	1173	0.1176529588766299	9690	0.9719157472417251	1.4895168100348795	10.37336956806156
Col7a1	COL7A1	31195	11111	199	0.01995987963891675	9789	0.9818455366098295	0.023575883634452358	7.692651738800558
Cp	CP	59646	7296	1184	0.11875626880641926	9408	0.9436308926780341	0.45936328395357606	5.707180339071908
Cpox	CPOX	72592	3666	11861	1.1896690070210632	5485	0.5501504513540622	4.328652413253402	1.7488405285514683
Cpt2	CPT2	17769	10452	1425	0.14292878635907724	9022	0.9049147442326981	0.2695683097039136	3.6325760201571984
Cst3	CST3	11768	3695	95293	9.557973921765296	2421	0.24282848545636912	1078.6874301407584	3.436227963517172
Cstb	CSTB	3934	2490	17028	1.707923771313942	3556	0.35667001003009025	4.443121077547016	1.234171720539828
Cyba	CYBA	7870	3357	868	0.08706118355065195	9564	0.9592778335005016	0.38664167847106373	7.142163153585314
Ddb2	DDB2	24776	4897	1238	0.12417251755265797	9136	0.9163490471414243	0.2433819262985063	3.9730010119833916
Dld	DLD	40761	5299	15482	1.5528585757271816	4459	0.44724172517552657	4.995751181722517	1.4393569033712317
Dpyd	DPYD	843307	6443	532	0.05336008024072217	9539	0.9567703109327984	0.07820367512407823	5.240794220170758
Edn3	EDN3	25566	2675	889	0.08916750250752256	9702	0.9731193580742227	0.7352522911295829	9.616379425365507
Ednrb	EDNRB	24288	5014	5353	0.5369107321965898	8738	0.8764292878635908	5.341650802543049	4.304628351653821
Emd	EMD	2327	2020	1696	0.17011033099297893	8601	0.8626880641925777	0.2280562622766484	2.807309604402392
Eng	ENG	39745	3935	448	0.04493480441323972	9700	0.9729187562688064	0.11333826939741885	7.492132214124924
Epb42	EPB42	115059	5574	19	0.001905717151454363	9956	0.9985957873620862	0.003106007761472802	29.244407420337804
Ephx1	EPHX1	35471	2508	1462	0.14663991975927784	9042	0.9069207622868606	0.3185487448401982	3.848892087163595
Epor	EPOR	7138	3079	271	0.027181544633901704	9804	0.9833500501504514	0.060551088514817185	9.052881692296449
Ercc3	ERCC3	36887	7401	2295	0.23019057171514543	8177	0.820160481444333	0.30862801062430945	2.4134046110496583
Etfa	ETFA	96118	5031	4321	0.4334002006018054	7296	0.7317953861584754	0.871529514815889	2.1540309625389185
F5	F5	72423	7158	149	0.01494483450351053	9872	0.9901705115346038	0.04321127692436322	13.90936936458613
F9	F9	32701	2780	NA	NA	NA	NA	NA	NA
Fabp2	FABP2	5141	2478	2	2.0060180541624874e-4	9968	0.9997993981945837	2.0058168285576965e-4	70.60099113925044
Fanca	FANCA	79109	9736	156	0.0156469408224674	9864	0.9893681043129389	0.02984843788059937	11.04158356361431
Fancc	FANCC	218656	9316	950	0.09528585757271815	9329	0.9357071213640923	0.18371736736943703	4.498281809518196
Fah	FAH	34457	7063	11483	1.1517552657973922	5963	0.5980942828485456	4.215005946719685	1.7825383794621033
Ms4a2	MS4A2	10206	4453	NA	NA	NA	NA	NA	NA
Fech	FECH	38490	4473	5857	0.5874623871614845	6834	0.685456369107322	1.351412659082675	1.9788547862756636
Fh1	FH	22159	2142	11610	1.164493480441324	5450	0.5466399197592778	3.599381150775026	1.6292092140206509
Fshr	FSHR	192381	3170	NA	NA	NA	NA	NA	NA
Fuca2	FUCA2	16880	2793	4977	0.49919759277833503	7086	0.7107321965897693	1.0432835370390436	2.046108665744187
Fut1	FUT1	7380	4343	101	0.010130391173520562	9880	0.9909729187562688	0.012837479234775247	11.184424999925566
Galc	GALC	155846	6825	2180	0.21865596790371114	8625	0.8650952858575727	0.46457317584210145	3.1172076247302023
Galk1	GALK1	14118	2891	1297	0.13009027081243732	9050	0.9077231695085256	0.22271771679769975	3.627710024528439
Galt	GALT	12903	4407	1429	0.14332998996990973	8861	0.8887662988966901	0.2078625182398434	3.1809073653793556
Gbe1	GBE1	272463	5171	1104	0.11073219658976931	9089	0.9116349047141424	0.16067325257948586	3.619910871776191
Gcdh	GCDH	23182	4136	2987	0.2995987963891675	8100	0.8124373119358074	0.5737885841293567	2.528342397896725
Gcgr	GCGR	9882	3241	NA	NA	NA	NA	NA	NA
Gch1	GCH1	60845	2951	1193	0.11965897693079237	9524	0.9552657973921765	0.5816277300152036	6.373489382325175
Ghr	GHR	298102	6610	699	0.07011033099297893	9548	0.9576730190571715	0.16651548586978712	5.820299016867609
Gja1	GJA1	14036	3037	5232	0.5247743229689067	8832	0.8858575727181545	7.883476852465309	5.350400861928518
Gjb1	GJB1	10323	2235	8920	0.8946840521564694	6891	0.691173520561685	3.266869119747647	2.0202083964320185
Gli3	GLI3	276922	9239	333	0.033400200601805416	9698	0.9727181544633902	0.04713388837391903	6.500062900342034
Gldc	GLDC	113187	4656	391	0.03921765295887663	9733	0.9762286860581745	0.10509237613532744	8.266163796056329
Glra3	GLRA3	192401	9599	102	0.010230692076228686	9875	0.9904714142427282	0.011732016191014613	10.587204780105308
Gp1ba	GP1BA	2734	2501	NA	NA	NA	NA	NA	NA
Gp9	GP9	1640	889	NA	NA	NA	NA	NA	NA
Gpi1	GPI	42677	9112	41121	4.124473420260783	2633	0.26409227683049147	30.15653811670743	1.3314419400046218
Gsn	GSN	125050	11018	99999	10.02998996990973	4701	0.4715145436308927	326.7212391412375	1.8021385839385848
Gss	GSS	27388	1922	5212	0.5227683049147442	7364	0.7386158475426279	1.3848261204518362	2.251066757243388
Msh6	MSH6	114572	10993	1391	0.139518555667001	8830	0.8856569709127382	0.18566854138501368	3.0884259374374454
Hadha	HADHA	54091	3811	4992	0.5007021063189568	7297	0.7318956870611836	1.2067905592592805	2.19399954740579
Hadhb	HADHB	47299	4280	9427	0.9455366098294885	5100	0.5115346038114343	1.8055398113288608	1.4211017873258547
Hgd	HGD	54399	2983	NA	NA	NA	NA	NA	NA
Hmbs	HMBS	8684	4247	2675	0.2683049147442327	8181	0.8205616850551655	0.48764011967691623	2.6026818682384762
Hmgcl	HMGCL	36736	5658	6954	0.6974924774322969	5833	0.5850551654964895	1.1573515209083967	1.542386144764006
Tbx5	TBX5	54512	4363	NA	NA	NA	NA	NA	NA
Hps1	HPS1	30750	5301	555	0.055667001003009024	9565	0.9593781344032096	0.09309908861905206	5.481190419481946
Sgsh	SGSH	14208	6713	803	0.08054162487462387	9428	0.9456369107321966	0.171363735101382	5.1397154147496815
Icam1	ICAM1	15781	3706	286	0.02868605817452357	9793	0.9822467402206619	0.07099967773719393	9.288750847269167
Ids	IDS	44115	9292	19500	1.9558676028084252	4412	0.4425275827482447	9.624494106252955	1.586169162888103
Idua	IDUA	17510	4000	602	0.06038114343029087	9447	0.947542627883651	0.07800687648259252	4.62556844100124
Cfi	CFI	61486	3875	2	2.0060180541624874e-4	9968	0.9997993981945837	2.0058168285576965e-4	70.60099113925044
Il2rg	IL2RG	4705	2760	147	0.014744232698094283	9889	0.9918756268806419	0.04121101392249776	13.768431663851599
Ins2	INS	1563	776	3	3.0090270812437313e-4	9968	0.9997993981945837	5.014642684196636e-4	74.42072560692883
Pdx1	PDX1	6212	2501	NA	NA	NA	NA	NA	NA
Itgb4	ITGB4	36492	6761	4242	0.4254764292878636	7890	0.7913741223671013	1.1653254074592119	2.5371614371745443
Jag1	JAG1	36424	8534	1556	0.15606820461384152	9332	0.9360080240722166	0.7069071996810977	5.387245512857031
Jak3	JAK3	23292	6813	66	0.006619859578736209	9910	0.9939819458375125	0.00798105018234561	13.495259609438861
Kcna1	KCNA1	21457	8361	38359	3.847442326980943	3920	0.39317953861584753	32.143139711038025	1.473574269196028
Kit	KIT	82797	5563	8416	0.8441323971915747	7963	0.7986960882647944	10.57134935753192	3.8517194286113905
Krt12	KRT12	5908	1867	442	0.044332998996990974	9733	0.9762286860581745	0.14228155426254688	8.508386097927188
Lamb3	LAMB3	37597	4749	77	0.007723169508525577	9899	0.9928786359077232	0.00967051017633098	12.732952714706698
Lep	LEP	16345	3420	NA	NA	NA	NA	NA	NA
Sgcg	SGCG	144214	1624	34	0.0034102306920762286	9942	0.9971915747241725	0.004602673503507815	19.893963905527233
Sgcb	SGCB	17777	4541	8331	0.8356068204613841	5883	0.5900702106318957	1.9042591612735689	1.6514333496829345
Lig1	LIG1	55159	6576	3136	0.31454363089267806	7938	0.7961885656970913	0.664619437608643	2.591824695465024
Lipc	LIPC	159275	5184	31	0.0031093279839518556	9949	0.9978936810431294	0.006711165696910168	26.347077277836437
Lpl	LPL	65542	4382	7807	0.783049147442327	8431	0.8456369107321966	7.493403080140208	3.4958317804542935
Kcnh2	KCNH2	33355	5877	1e3	0.10030090270812438	9325	0.9353059177532598	0.23068503333251836	4.788559274957586
Maoa	MAOA	91917	5528	4388	0.44012036108324976	7300	0.7321965897693079	0.9177201179222289	2.1766252631553953
Met	MET	125997	7039	549	0.055065195586760284	9606	0.9634904714142427	0.11744098782454293	6.223470877623505
Ciita	CIITA	55084	14503	41	0.0041123370110330995	9933	0.9962888665997994	0.004898324223347141	17.01904025750103
Mlh1	MLH1	57587	3532	1593	0.15977933801404212	8947	0.8973921765295888	0.3567530860210283	3.738206185798064
Msh2	MSH2	159343	4552	3125	0.31344032096288865	7703	0.772617853560682	0.4712106527225372	2.1900432251782758
Mttp	MTTP	60239	5398	1217	0.12206619859578736	9078	0.9105315947843531	0.1998641224103648	3.6624524976454995
Mybpc3	MYBPC3	21306	4280	44	0.0044132397191574725	9934	0.9963891675025075	0.0068016669126649675	18.687455086033523
Myo7a	MYO7A	86975	10145	339	0.034002006018054164	9739	0.9768304914744232	0.06655364830573575	7.587197580636964
